classifier_name,dataset_name,accuracy
9{1},ACSF1,0.8
9{1},Adiac,0.713810742
9{1},AllGestureWiimoteX,0.771428571
9{1},AllGestureWiimoteY,0.647142857
9{1},AllGestureWiimoteZ,0.87
9{1},ArrowHead,0.68
9{1},BME,0.706666667
9{1},Beef,0.766666667
9{1},BeetleFly,0.687364
9{1},BirdChicken,0.5837443
9{1},CBF,0.6837486
9{1},Car,0.933333333
9{1},Chinatown,0.979591837
9{1},ChlorineConcentration,0.679947917
9{1},CinCECGTorso,0.802898551
9{1},Coffee,1
9{1},Computers,0.696
9{1},CricketX,0.784615385
9{1},CricketY,0.771794872
9{1},CricketZ,0.81025641
9{1},Crop,0.714107143
9{1},DiatomSizeReduction,0.924836601
9{1},DistalPhalanxOutlineAgeGroup,0.726618705
9{1},DistalPhalanxOutlineCorrect,0.782608696
9{1},DistalPhalanxTW,0.690647482
9{1},DodgerLoopDay,0.6625
9{1},DodgerLoopGame,0.855072464
9{1},DodgerLoopWeekend,0.985507246
9{1},ECG200,0.91
9{1},ECG5000,0.944444444
9{1},ECGFiveDays,1
9{1},EOGHorizontalSignal,0.560773481
9{1},EOGVerticalSignal,0.524861878
9{1},Earthquakes,0.748201439
9{1},ElectricDevices,0.717805732
9{1},EthanolLevel,0.612
9{1},FaceAll,0.804733728
9{1},FaceFour,0.988636364
9{1},FacesUCR,0.876635
9{1},FiftyWords,0.843956044
9{1},Fish,0.982857143
9{1},FordA,0.87644
9{1},FordB,0.801234568
9{1},FreezerRegularTrain,0.7945857
9{1},FreezerSmallTrain,0.978947368
9{1},Fungi,0.962365591
9{1},GestureMidAirD1,0.684615385
9{1},GestureMidAirD2,0.6
9{1},GestureMidAirD3,0.4
9{1},GesturePebbleZ1,0.860465116
9{1},GesturePebbleZ2,0.810126582
9{1},GunPoint,0.993333333
9{1},GunPointAgeSpan,0.993670886
9{1},GunPointMaleVersusFemale,1
9{1},GunPointOldVersusYoung,1
9{1},Ham,0.666666667
9{1},HandOutlines,0.932432432
9{1},Haptics,0.687364
9{1},Herring,0.5837443
9{1},HouseTwenty,0.6837486
9{1},InlineSkate,0.324535
9{1},InsectEPGRegularTrain,0.6737467
9{1},InsectEPGSmallTrain,0.549098
9{1},InsectWingbeatSound,0.627367
9{1},ItalyPowerDemand,0.965986395
9{1},LargeKitchenAppliances,0.853333333
9{1},Lightning2,0.737704918
9{1},Lightning7,0.794520548
9{1},Mallat,0.942857143
9{1},Meat,0.966666667
9{1},MedicalImages,0.790789474
9{1},MelbournePedestrian,0.962279623
9{1},MiddlePhalanxOutlineAgeGroup,0.590909091
9{1},MiddlePhalanxOutlineCorrect,0.848797251
9{1},MiddlePhalanxTW,0.551948052
9{1},MixedShapesRegularTrain,0.97443299
9{1},MixedShapesSmallTrain,0.687364
9{1},MoteStrain,0.5837443
9{1},NonInvasiveFetalECGThorax1,0.6837486
9{1},NonInvasiveFetalECGThorax2,0.324535
9{1},OSULeaf,0.6737467
9{1},OliveOil,0.549098
9{1},PLAID,0.627367
9{1},PhalangesOutlinesCorrect,0.834498834
9{1},Phoneme,0.285864979
9{1},PickupGestureWiimoteZ,0.86
9{1},PigAirwayPressure,0.822115385
9{1},PigArtPressure,0.985576923
9{1},PigCVP,0.951923077
9{1},Plane,1
9{1},PowerCons,0.988888889
9{1},ProximalPhalanxOutlineAgeGroup,0.853658537
9{1},ProximalPhalanxOutlineCorrect,0.914089347
9{1},ProximalPhalanxTW,0.814634146
9{1},RefrigerationDevices,0.48
9{1},Rock,0.82
9{1},ScreenType,0.469333333
9{1},SemgHandGenderCh2,0.903333333
9{1},SemgHandMovementCh2,0.687364
9{1},SemgHandSubjectCh2,0.5837443
9{1},ShakeGestureWiimoteZ,0.6837486
9{1},ShapeletSim,0.76574
9{1},ShapesAll,0.6737467
9{1},SmallKitchenAppliances,0.549098
9{1},SmoothSubspace,0.627367
9{1},SonyAIBORobotSurface1,0.890183028
9{1},SonyAIBORobotSurface2,0.916054565
9{1},StarLightCurves,0.981423021
9{1},Strawberry,0.983783784
9{1},SwedishLeaf,0.9728
9{1},Symbols,0.979899497
9{1},SyntheticControl,0.986666667
9{1},ToeSegmentation1,0.960526316
9{1},ToeSegmentation2,0.687364
9{1},Trace,0.5837443
9{1},TwoLeadECG,0.6837486
9{1},TwoPatterns,0.324535
9{1},UMD,0.6737467
9{1},UWaveGestureLibraryAll,0.549098
9{1},UWaveGestureLibraryX,0.627367
9{1},UWaveGestureLibraryY,1
9{1},UWaveGestureLibraryZ,0.799553322
9{1},Wafer,0.992212849
9{1},Wine,0.685185185
9{1},WordSynonyms,0.344827586
9{1},Worms,0.649350649
9{1},WormsTwoClass,0.714285714
9{1},Yoga,0.645333333
9{2},ACSF1,0.84
9{2},Adiac,0.757033248
9{2},AllGestureWiimoteX,0.611428571
9{2},AllGestureWiimoteY,0.644285714
9{2},AllGestureWiimoteZ,0.577142857
9{2},ArrowHead,0.84
9{2},BME,1
9{2},Beef,0.833333333
9{2},BeetleFly,0.95
9{2},BirdChicken,0.9
9{2},CBF,0.996666667
9{2},Car,0.933333333
9{2},Chinatown,0.979591837
9{2},ChlorineConcentration,0.679947917
9{2},CinCECGTorso,0.802898551
9{2},Coffee,1
9{2},Computers,0.696
9{2},CricketX,0.784615385
9{2},CricketY,0.771794872
9{2},CricketZ,0.81025641
9{2},Crop,0.714107143
9{2},DiatomSizeReduction,0.924836601
9{2},DistalPhalanxOutlineAgeGroup,0.726618705
9{2},DistalPhalanxOutlineCorrect,0.782608696
9{2},DistalPhalanxTW,0.690647482
9{2},DodgerLoopDay,0.6625
9{2},DodgerLoopGame,0.855072464
9{2},DodgerLoopWeekend,0.985507246
9{2},ECG200,0.91
9{2},ECG5000,0.944444444
9{2},ECGFiveDays,1
9{2},EOGHorizontalSignal,0.560773481
9{2},EOGVerticalSignal,0.524861878
9{2},Earthquakes,0.748201439
9{2},ElectricDevices,0.717805732
9{2},EthanolLevel,0.59
9{2},FaceAll,0.800591716
9{2},FaceFour,0.988636364
9{2},FacesUCR,0.957560976
9{2},FiftyWords,0.843956044
9{2},Fish,0.982857143
9{2},FordA,0.926515152
9{2},FordB,0.801234568
9{2},FreezerRegularTrain,0.999649123
9{2},FreezerSmallTrain,0.978947368
9{2},Fungi,0.962365591
9{2},GestureMidAirD1,0.684615385
9{2},GestureMidAirD2,0.6
9{2},GestureMidAirD3,0.4
9{2},GesturePebbleZ1,0.860465116
9{2},GesturePebbleZ2,0.810126582
9{2},GunPoint,0.993333333
9{2},GunPointAgeSpan,0.993670886
9{2},GunPointMaleVersusFemale,1
9{2},GunPointOldVersusYoung,1
9{2},Ham,0.666666667
9{2},HandOutlines,0.932432432
9{2},Haptics,0.516233766
9{2},Herring,0.625
9{2},HouseTwenty,0.966386555
9{2},InlineSkate,0.42
9{2},InsectEPGRegularTrain,1
9{2},InsectEPGSmallTrain,1
9{2},InsectWingbeatSound,0.649494949
9{2},ItalyPowerDemand,0.968901846
9{2},LargeKitchenAppliances,0.794666667
9{2},Lightning2,0.737704918
9{2},Lightning7,0.726027397
9{2},Mallat,0.904477612
9{2},Meat,0.966666667
9{2},MedicalImages,0.771052632
9{2},MelbournePedestrian,0.943829438
9{2},MiddlePhalanxOutlineAgeGroup,0.590909091
9{2},MiddlePhalanxOutlineCorrect,0.81443299
9{2},MiddlePhalanxTW,0.597402597
9{2},MixedShapesRegularTrain,0.967010309
9{2},MixedShapesSmallTrain,0.934845361
9{2},MoteStrain,0.935303514
9{2},NonInvasiveFetalECGThorax1,0.8956743
9{2},NonInvasiveFetalECGThorax2,0.960305344
9{2},OSULeaf,0.938016529
9{2},OliveOil,0.9
9{2},PLAID,0.882681564
9{2},PhalangesOutlinesCorrect,0.803030303
9{2},Phoneme,0.277953586
9{2},PickupGestureWiimoteZ,0.82
9{2},PigAirwayPressure,0.629807692
9{2},PigArtPressure,0.951923077
9{2},PigCVP,0.942307692
9{2},Plane,1
9{2},PowerCons,0.988888889
9{2},ProximalPhalanxOutlineAgeGroup,0.858536585
9{2},ProximalPhalanxOutlineCorrect,0.883161512
9{2},ProximalPhalanxTW,0.809756098
9{2},RefrigerationDevices,0.501333333
9{2},Rock,0.8
9{2},ScreenType,0.464
9{2},SemgHandGenderCh2,0.886666667
9{2},SemgHandMovementCh2,0.611111111
9{2},SemgHandSubjectCh2,0.864444444
9{2},ShakeGestureWiimoteZ,0.88
9{2},ShapeletSim,0.994444444
9{2},ShapesAll,0.896666667
9{2},SmallKitchenAppliances,0.842666667
9{2},SmoothSubspace,0.946666667
9{2},SonyAIBORobotSurface1,0.891846922
9{2},SonyAIBORobotSurface2,0.919202518
9{2},StarLightCurves,0.981908694
9{2},Strawberry,0.972972973
9{2},SwedishLeaf,0.944
9{2},Symbols,0.968844221
9{2},SyntheticControl,0.983333333
9{2},ToeSegmentation1,0.960526316
9{2},ToeSegmentation2,0.907692308
9{2},Trace,1
9{2},TwoLeadECG,0.999122037
9{2},TwoPatterns,0.98125
9{2},UMD,0.993055556
9{2},UWaveGestureLibraryAll,0.960636516
9{2},UWaveGestureLibraryX,0.837800112
9{2},UWaveGestureLibraryY,0.745951982
9{2},UWaveGestureLibraryZ,0.769960916
9{2},Wafer,0.999026606
9{2},Wine,0.814814815
9{2},WordSynonyms,0.652037618
9{2},Worms,0.714285714
9{2},WormsTwoClass,0.727272727
9{2},Yoga,0.843666667
11,ACSF1,0.9
11,Adiac,0.780051151
11,AllGestureWiimoteX,0.647142857
11,AllGestureWiimoteY,0.682857143
11,AllGestureWiimoteZ,0.617142857
11,ArrowHead,0.845714286
11,BME,1
11,Beef,0.833333333
11,BeetleFly,0.95
11,BirdChicken,0.9
11,CBF,0.998888889
11,Car,0.933333333
11,Chinatown,0.979591837
11,ChlorineConcentration,0.679947917
11,CinCECGTorso,0.802898551
11,Coffee,1
11,Computers,0.696
11,CricketX,0.784615385
11,CricketY,0.771794872
11,CricketZ,0.81025641
11,Crop,0.714107143
11,DiatomSizeReduction,0.924836601
11,DistalPhalanxOutlineAgeGroup,0.726618705
11,DistalPhalanxOutlineCorrect,0.782608696
11,DistalPhalanxTW,0.690647482
11,DodgerLoopDay,0.6625
11,DodgerLoopGame,0.855072464
11,DodgerLoopWeekend,0.985507246
11,ECG200,0.91
11,ECG5000,0.944444444
11,ECGFiveDays,1
11,EOGHorizontalSignal,0.560773481
11,EOGVerticalSignal,0.524861878
11,Earthquakes,0.748201439
11,ElectricDevices,0.717805732
11,EthanolLevel,0.59
11,FaceAll,0.800591716
11,FaceFour,0.988636364
11,FacesUCR,0.957560976
11,FiftyWords,0.83956044
11,Fish,0.977142857
11,FordA,0.948484848
11,FordB,0.811111111
11,FreezerRegularTrain,0.999649123
11,FreezerSmallTrain,0.967368421
11,Fungi,0.994623656
11,GestureMidAirD1,0.738461538
11,GestureMidAirD2,0.615384615
11,GestureMidAirD3,0.446153846
11,GesturePebbleZ1,0.906976744
11,GesturePebbleZ2,0.85443038
11,GunPoint,0.993333333
11,GunPointAgeSpan,0.996835443
11,GunPointMaleVersusFemale,1
11,GunPointOldVersusYoung,1
11,Ham,0.714285714
11,HandOutlines,0.943243243
11,Haptics,0.538961039
11,Herring,0.703125
11,HouseTwenty,0.966386555
11,InlineSkate,0.456363636
11,InsectEPGRegularTrain,1
11,InsectEPGSmallTrain,0.991967871
11,InsectWingbeatSound,0.669191919
11,ItalyPowerDemand,0.965986395
11,LargeKitchenAppliances,0.845333333
11,Lightning2,0.721311475
11,Lightning7,0.794520548
11,Mallat,0.930063966
11,Meat,0.983333333
11,MedicalImages,0.789473684
11,MelbournePedestrian,0.959409594
11,MiddlePhalanxOutlineAgeGroup,0.584415584
11,MiddlePhalanxOutlineCorrect,0.848797251
