classifier_name,dataset_name,accuracy
conv.output,ACSF1,0.91
conv.output,Adiac,0.8158567774936062
conv.output,AllGestureWiimoteX,0.6885714285714286
conv.output,AllGestureWiimoteY,0.7171428571428572
conv.output,AllGestureWiimoteZ,0.6857142857142857
conv.output,ArrowHead,0.8514285714285714
conv.output,BME,1.0
conv.output,Beef,0.8666666666666667
conv.output,BeetleFly,0.9
conv.output,BirdChicken,0.9
conv.output,CBF,0.9988888888888889
conv.output,Car,0.9166666666666666
conv.output,Chinatown,0.9825072886297376
conv.output,ChlorineConcentration,0.75625
conv.output,CinCECGTorso,0.8673913043478261
conv.output,Coffee,1.0
conv.output,Computers,0.732
conv.output,CricketX,0.8051282051282052
conv.output,CricketY,0.8358974358974359
conv.output,CricketZ,0.8282051282051283
conv.output,Crop,0.7508928571428571
conv.output,DiatomSizeReduction,0.9281045751633987
conv.output,DistalPhalanxOutlineAgeGroup,0.7482014388489209
conv.output,DistalPhalanxOutlineCorrect,0.7898550724637681
conv.output,DistalPhalanxTW,0.7194244604316546
conv.output,DodgerLoopDay,0.6625
conv.output,DodgerLoopGame,0.8623188405797102
conv.output,DodgerLoopWeekend,0.9855072463768116
conv.output,ECG200,0.92
conv.output,ECG5000,0.9448888888888889
conv.output,ECGFiveDays,1.0
conv.output,EOGHorizontalSignal,0.5939226519337016
conv.output,EOGVerticalSignal,0.5552486187845304
conv.output,Earthquakes,0.7482014388489209
conv.output,ElectricDevices,0.7323304370379977
conv.output,EthanolLevel,0.604
conv.output,FaceAll,0.8071005917159764
conv.output,FaceFour,0.9886363636363636
conv.output,FacesUCR,0.9585365853658536
conv.output,FiftyWords,0.8373626373626374
conv.output,Fish,0.9828571428571429
conv.output,FordA,0.9492424242424242
conv.output,FordB,0.8234567901234567
conv.output,FreezerRegularTrain,0.9996491228070176
conv.output,FreezerSmallTrain,0.9642105263157895
conv.output,Fungi,1.0
conv.output,GestureMidAirD1,0.7230769230769231
conv.output,GestureMidAirD2,0.6307692307692307
conv.output,GestureMidAirD3,0.4461538461538462
conv.output,GesturePebbleZ1,0.9069767441860465
conv.output,GesturePebbleZ2,0.8607594936708861
conv.output,GunPoint,0.9933333333333333
conv.output,GunPointAgeSpan,0.9936708860759493
conv.output,GunPointMaleVersusFemale,1.0
conv.output,GunPointOldVersusYoung,1.0
conv.output,Ham,0.7142857142857143
conv.output,HandOutlines,0.9459459459459459
conv.output,Haptics,0.5422077922077922
conv.output,Herring,0.65625
conv.output,HouseTwenty,0.9663865546218487
conv.output,InlineSkate,0.47454545454545455
conv.output,InsectEPGRegularTrain,1.0
conv.output,InsectEPGSmallTrain,0.9919678714859438
conv.output,InsectWingbeatSound,0.6702020202020202
conv.output,ItalyPowerDemand,0.9650145772594753
conv.output,LargeKitchenAppliances,0.856
conv.output,Lightning2,0.7377049180327869
conv.output,Lightning7,0.7671232876712328
conv.output,Mallat,0.9488272921108742
conv.output,Meat,0.9666666666666667
conv.output,MedicalImages,0.8026315789473685
conv.output,MelbournePedestrian,0.9589995899959
conv.output,MiddlePhalanxOutlineAgeGroup,0.5974025974025974
conv.output,MiddlePhalanxOutlineCorrect,0.8625429553264605
conv.output,MiddlePhalanxTW,0.5454545454545454
conv.output,MixedShapesRegularTrain,0.9707216494845361
conv.output,MixedShapesSmallTrain,0.948041237113402
